date,ticker,factor
2014-01-30,000767.SZ,801160.SI
2014-01-30,000778.SZ,801040.SI
2014-01-30,000779.SZ,801130.SI
2014-01-30,000780.SZ,801020.SI
2014-01-30,000782.SZ,801030.SI
2014-01-30,000785.SZ,801200.SI
2014-01-30,000788.SZ,801150.SI
2014-01-30,000790.SZ,801150.SI
2014-01-30,000791.SZ,801160.SI
2014-01-30,000792.SZ,801030.SI
2014-01-30,000795.SZ,801050.SI
2014-01-30,000796.SZ,801120.SI
2014-01-30,000797.SZ,801180.SI
2014-01-30,000798.SZ,801010.SI
2014-01-30,000799.SZ,801120.SI
2014-01-30,000801.SZ,801110.SI
2014-01-30,000802.SZ,801210.SI
2014-01-30,000803.SZ,801180.SI
2014-01-30,000807.SZ,801050.SI
2014-01-30,000809.SZ,801180.SI
2014-01-30,000810.SZ,801130.SI
2014-01-30,000812.SZ,801140.SI
2014-01-30,000813.SZ,801230.SI
2014-01-30,000815.SZ,801140.SI
2014-01-30,000818.SZ,801030.SI
2014-01-30,000819.SZ,801030.SI
2014-01-30,000820.SZ,801140.SI
2014-01-30,000822.SZ,801030.SI
2014-01-30,000823.SZ,801080.SI
2014-01-30,000825.SZ,801040.SI
2014-01-30,000826.SZ,801160.SI
2014-01-30,000828.SZ,801170.SI
2014-01-30,000829.SZ,801200.SI
2014-01-30,000830.SZ,801030.SI
2014-01-30,000831.SZ,801050.SI
2014-01-30,000833.SZ,801140.SI
2014-01-30,000835.SZ,801020.SI
2014-01-30,000838.SZ,801180.SI
2014-01-30,000839.SZ,801230.SI
2014-01-30,000848.SZ,801120.SI
2014-01-30,000850.SZ,801130.SI
2014-01-30,000858.SZ,801120.SI
2014-01-30,000859.SZ,801030.SI
2014-01-30,000860.SZ,801010.SI
2014-01-30,000861.SZ,801200.SI
2014-01-30,000863.SZ,801180.SI
2014-01-30,000869.SZ,801120.SI
2014-01-30,000875.SZ,801160.SI
2014-01-30,000876.SZ,801010.SI
2014-01-30,000878.SZ,801050.SI
2014-01-30,000881.SZ,801230.SI
2014-01-30,000882.SZ,801200.SI
2014-01-30,000883.SZ,801160.SI
2014-01-30,000886.SZ,801170.SI
2014-01-30,000888.SZ,801210.SI
2014-01-30,000889.SZ,801200.SI
2014-01-30,000892.SZ,801230.SI
2014-01-30,000893.SZ,801010.SI
2014-01-30,000895.SZ,801120.SI
2014-01-30,000897.SZ,801180.SI
2014-01-30,000898.SZ,801040.SI
2014-01-30,000899.SZ,801160.SI
2014-01-30,000900.SZ,801170.SI
2014-01-30,000905.SZ,801170.SI
2014-01-30,000906.SZ,801040.SI
2014-01-30,000909.SZ,801180.SI
2014-01-30,000910.SZ,801140.SI
2014-01-30,000911.SZ,801010.SI
2014-01-30,000912.SZ,801030.SI
2014-01-30,000915.SZ,801150.SI
2014-01-30,000916.SZ,801170.SI
2014-01-30,000918.SZ,801180.SI
2014-01-30,000919.SZ,801150.SI
2014-01-30,000921.SZ,801110.SI
2014-01-30,000925.SZ,801160.SI
2014-01-30,000926.SZ,801180.SI
2014-01-30,000928.SZ,801050.SI
2014-01-30,000929.SZ,801120.SI
2014-01-30,000930.SZ,801010.SI
2014-01-30,000931.SZ,801180.SI
2014-01-30,000932.SZ,801040.SI
2014-01-30,000933.SZ,801020.SI
2014-01-30,000936.SZ,801030.SI
2014-01-30,000937.SZ,801020.SI
2014-01-30,000939.SZ,801160.SI
2014-01-30,000949.SZ,801030.SI
2014-01-30,000950.SZ,801030.SI
2014-01-30,000952.SZ,801150.SI
2014-01-30,000953.SZ,801030.SI
2014-01-30,000955.SZ,801130.SI
2014-01-30,000958.SZ,801160.SI
2014-01-30,000959.SZ,801040.SI
2014-01-30,000960.SZ,801050.SI
2014-01-30,000961.SZ,801180.SI
2014-01-30,000962.SZ,801050.SI
2014-01-30,000963.SZ,801150.SI
2014-01-30,000965.SZ,801180.SI
2014-01-30,000966.SZ,801160.SI
2014-01-30,000968.SZ,801020.SI
2014-01-30,000969.SZ,801050.SI
2014-01-30,000970.SZ,801050.SI
2014-01-30,000971.SZ,801130.SI
2014-01-30,000972.SZ,801010.SI
2014-01-30,000973.SZ,801030.SI
2014-01-30,000975.SZ,801050.SI
2014-01-30,000976.SZ,801030.SI
2014-01-30,000978.SZ,801210.SI
2014-01-30,000979.SZ,801180.SI
2014-01-30,000981.SZ,801180.SI
2014-01-30,000982.SZ,801130.SI
2014-01-30,000983.SZ,801020.SI
2014-01-30,000985.SZ,801030.SI
2014-01-30,000987.SZ,801200.SI
2014-01-30,000988.SZ,801080.SI
2014-01-30,000989.SZ,801150.SI
2014-01-30,000990.SZ,801150.SI
2014-01-30,000993.SZ,801160.SI
2014-01-30,000995.SZ,801120.SI
2014-01-30,000998.SZ,801010.SI
2014-01-30,000999.SZ,801150.SI
2014-01-30,001896.SZ,801160.SI
2014-01-30,002001.SZ,801150.SI
2014-01-30,002002.SZ,801030.SI
2014-01-30,002003.SZ,801130.SI
2014-01-30,002004.SZ,801030.SI
2014-01-30,002005.SZ,801080.SI
2014-01-30,002007.SZ,801150.SI
2014-01-30,002008.SZ,801080.SI
2014-01-30,002010.SZ,801030.SI
2014-01-30,002011.SZ,801110.SI
2014-01-30,002012.SZ,801140.SI
2014-01-30,002014.SZ,801140.SI
2014-01-30,002015.SZ,801030.SI
2014-01-30,002016.SZ,801180.SI
2014-01-30,002018.SZ,801030.SI
2014-01-30,002019.SZ,801150.SI
2014-01-30,002020.SZ,801150.SI
2014-01-30,002022.SZ,801150.SI
2014-01-30,002024.SZ,801200.SI
2014-01-30,002025.SZ,801080.SI
2014-01-30,002029.SZ,801130.SI
2014-01-30,002030.SZ,801150.SI
2014-01-30,002032.SZ,801110.SI
2014-01-30,002033.SZ,801210.SI
2014-01-30,002034.SZ,801130.SI
2014-01-30,002035.SZ,801110.SI
2014-01-30,002036.SZ,801130.SI
2014-01-30,002037.SZ,801030.SI
2014-01-30,002038.SZ,801150.SI
2014-01-30,002039.SZ,801160.SI
2014-01-30,002040.SZ,801170.SI
2014-01-30,002041.SZ,801010.SI
2014-01-30,002042.SZ,801130.SI
2014-01-30,002044.SZ,801130.SI
2014-01-30,002045.SZ,801080.SI
2014-01-30,002047.SZ,801140.SI
2014-01-30,002049.SZ,801080.SI
2014-01-30,002050.SZ,801110.SI
2014-01-30,002052.SZ,801110.SI
2014-01-30,002053.SZ,801030.SI
2014-01-30,002054.SZ,801030.SI
2014-01-30,002055.SZ,801080.SI
2014-01-30,002056.SZ,801080.SI
2014-01-30,002057.SZ,801050.SI
2014-01-30,002059.SZ,801210.SI
2014-01-30,002061.SZ,801030.SI
2014-01-30,002064.SZ,801030.SI
2014-01-30,002067.SZ,801140.SI
2014-01-30,002068.SZ,801030.SI
2014-01-30,002069.SZ,801010.SI
2014-01-30,002070.SZ,801130.SI
2014-01-30,002071.SZ,801140.SI
2014-01-30,002072.SZ,801130.SI
2014-01-30,002075.SZ,801040.SI
2014-01-30,002076.SZ,801080.SI
2014-01-30,002077.SZ,801180.SI
2014-01-30,002078.SZ,801140.SI
2014-01-30,002079.SZ,801080.SI
2014-01-30,002080.SZ,801030.SI
2014-01-30,002083.SZ,801130.SI
2014-01-30,002084.SZ,801140.SI
2014-01-30,002086.SZ,801010.SI
2014-01-30,002087.SZ,801130.SI
2014-01-30,002091.SZ,801200.SI
2014-01-30,002092.SZ,801030.SI
