date,secID,factor
2014-01-30,000652.SZ,6433501994.72
2014-01-30,000655.SZ,4036406759.4
2014-01-30,000656.SZ,9905517436.05
2014-01-30,000657.SZ,6412277572.8
2014-01-30,000659.SZ,3059971997.6
2014-01-30,000661.SZ,15956178255.0
2014-01-30,000662.SZ,1558021572.0
2014-01-30,000663.SZ,2187783421.2
2014-01-30,000665.SZ,4688462134.26
2014-01-30,000666.SZ,6872308800.0
2014-01-30,000667.SZ,4556074350.96
2014-01-30,000668.SZ,1378845347.1
2014-01-30,000669.SZ,8052004657.91
2014-01-30,000670.SZ,4143022806.4
2014-01-30,000671.SZ,9438049596.4
2014-01-30,000672.SZ,3864694387.25
2014-01-30,000673.SZ,2336738400.0
2014-01-30,000676.SZ,1198575323.19
2014-01-30,000677.SZ,2393218915.96
2014-01-30,000678.SZ,1780681157.55
2014-01-30,000679.SZ,1903176000.0
2014-01-30,000680.SZ,3598284071.9
2014-01-30,000681.SZ,3490050000.0
2014-01-30,000682.SZ,2709512050.15
2014-01-30,000683.SZ,2817877317.61
2014-01-30,000685.SZ,8876988651.0
2014-01-30,000686.SZ,15618184935.4
2014-01-30,000687.SZ,2287252755.24
2014-01-30,000688.SZ,6687319966.32
2014-01-30,000690.SZ,8581264125.0
2014-01-30,000691.SZ,1541997900.0
2014-01-30,000692.SZ,1942176197.52
2014-01-30,000693.SZ,6087109537.6
2014-01-30,000695.SZ,1719421951.86
2014-01-30,000697.SZ,4849433447.04
2014-01-30,000698.SZ,2485091265.28
2014-01-30,000700.SZ,2725764552.0
2014-01-30,000701.SZ,2748460000.0
2014-01-30,000702.SZ,1202521937.76
2014-01-30,000703.SZ,8155864515.82
2014-01-30,000705.SZ,2835036081.71
2014-01-30,000707.SZ,1675566211.65
2014-01-30,000708.SZ,2422311707.2
2014-01-30,000709.SZ,18688749819.5
2014-01-30,000710.SZ,1236816000.0
2014-01-30,000711.SZ,894595104.0
2014-01-30,000712.SZ,12051200000.0
2014-01-30,000713.SZ,2645052316.8
2014-01-30,000715.SZ,3529425900.0
2014-01-30,000716.SZ,3094680000.0
2014-01-30,000717.SZ,4209972473.4
2014-01-30,000718.SZ,8826591863.52
2014-01-30,000719.SZ,5773495738.14
2014-01-30,000720.SZ,1908246600.0
2014-01-30,000721.SZ,1701780687.2
2014-01-30,000722.SZ,3068086244.02
2014-01-30,000723.SZ,1549551064.5
2014-01-30,000725.SZ,28800885186.3
2014-01-30,000726.SZ,9462424910.4
2014-01-30,000727.SZ,1648532264.04
2014-01-30,000728.SZ,18757155000.0
2014-01-30,000729.SZ,19911924382.2
2014-01-30,000731.SZ,5287870106.88
2014-01-30,000732.SZ,9917485431.75
2014-01-30,000733.SZ,3223080000.0
2014-01-30,000735.SZ,5562434240.0
2014-01-30,000736.SZ,1887181169.75
2014-01-30,000737.SZ,2315767200.0
2014-01-30,000738.SZ,15122479006.8
2014-01-30,000739.SZ,5243380356.76
2014-01-30,000748.SZ,7785403784.1
2014-01-30,000750.SZ,24305001033.8
2014-01-30,000752.SZ,2669235928.92
2014-01-30,000753.SZ,1595430403.64
2014-01-30,000755.SZ,1618962942.45
2014-01-30,000756.SZ,2281991021.7
2014-01-30,000757.SZ,1655826317.12
2014-01-30,000758.SZ,9679494953.96
2014-01-30,000759.SZ,4794391360.0
2014-01-30,000760.SZ,7293931742.16
2014-01-30,000761.SZ,8655360000.0
2014-01-30,000762.SZ,4845424247.86
2014-01-30,000766.SZ,2258551868.28
2014-01-30,000767.SZ,6716138644.0
2014-01-30,000768.SZ,24601045898.4
2014-01-30,000776.SZ,68012658921.4
2014-01-30,000777.SZ,3593474887.38
2014-01-30,000778.SZ,12751575763.5
2014-01-30,000779.SZ,1599663951.6
2014-01-30,000780.SZ,3986223853.32
2014-01-30,000782.SZ,1686820252.5
2014-01-30,000783.SZ,22099899379.5
2014-01-30,000785.SZ,1439500329.54
2014-01-30,000786.SZ,8586989500.0
2014-01-30,000788.SZ,7187608345.5
2014-01-30,000789.SZ,3753789935.22
2014-01-30,000790.SZ,3121056560.43
2014-01-30,000791.SZ,4787906877.0
2014-01-30,000792.SZ,23698587124.7
2014-01-30,000793.SZ,25755368529.1
2014-01-30,000795.SZ,2009568000.0
2014-01-30,000796.SZ,1208055873.5
2014-01-30,000797.SZ,2656065640.8
2014-01-30,000798.SZ,1974231900.0
2014-01-30,000799.SZ,3671697474.0
2014-01-30,000800.SZ,16161075000.0
2014-01-30,000801.SZ,5518658064.0
2014-01-30,000802.SZ,3022341701.6
2014-01-30,000803.SZ,933712827.83
2014-01-30,000806.SZ,2020731240.18
2014-01-30,000807.SZ,4909961818.96
2014-01-30,000809.SZ,6257416609.56
2014-01-30,000810.SZ,1795870194.3
2014-01-30,000811.SZ,4506302502.14
2014-01-30,000812.SZ,2098191803.19
2014-01-30,000813.SZ,3085469422.2
2014-01-30,000815.SZ,1286208000.0
2014-01-30,000816.SZ,4572973935.6
2014-01-30,000818.SZ,1802000000.0
2014-01-30,000819.SZ,4018758336.82
2014-01-30,000820.SZ,2095437052.8
2014-01-30,000821.SZ,1280835877.51
2014-01-30,000822.SZ,2765834051.34
2014-01-30,000823.SZ,4267824840.0
2014-01-30,000825.SZ,13955807100.2
2014-01-30,000826.SZ,21369480694.6
2014-01-30,000828.SZ,4760987823.36
2014-01-30,000829.SZ,8474764773.4
2014-01-30,000830.SZ,5507876525.28
2014-01-30,000831.SZ,19451028493.2
2014-01-30,000833.SZ,1838581534.8
